customer_id,credit_score,score_date,bureau,payment_history_pct,credit_utilization_pct,credit_age_months,num_accounts,num_inquiries,derogatory_marks
ID000074,18,2026-03-19,bureau_74,payment_history_pct_74,credit_utilization_pct_74,credit_age_months_74,num_accounts_74,num_inquiries_74,derogatory_marks_74
ID000075,25,2026-03-20,bureau_75,payment_history_pct_75,credit_utilization_pct_75,credit_age_months_75,num_accounts_75,num_inquiries_75,derogatory_marks_75
ID000076,32,2026-03-21,bureau_76,payment_history_pct_76,credit_utilization_pct_76,credit_age_months_76,num_accounts_76,num_inquiries_76,derogatory_marks_76
ID000077,39,2026-03-22,bureau_77,payment_history_pct_77,credit_utilization_pct_77,credit_age_months_77,num_accounts_77,num_inquiries_77,derogatory_marks_77
ID000078,46,2026-03-23,bureau_78,payment_history_pct_78,credit_utilization_pct_78,credit_age_months_78,num_accounts_78,num_inquiries_78,derogatory_marks_78
ID000079,53,2026-03-24,bureau_79,payment_history_pct_79,credit_utilization_pct_79,credit_age_months_79,num_accounts_79,num_inquiries_79,derogatory_marks_79
ID000080,60,2026-03-25,bureau_80,payment_history_pct_80,credit_utilization_pct_80,credit_age_months_80,num_accounts_80,num_inquiries_80,derogatory_marks_80
ID000081,67,2026-03-26,bureau_81,payment_history_pct_81,credit_utilization_pct_81,credit_age_months_81,num_accounts_81,num_inquiries_81,derogatory_marks_81
ID000082,74,2026-03-27,bureau_82,payment_history_pct_82,credit_utilization_pct_82,credit_age_months_82,num_accounts_82,num_inquiries_82,derogatory_marks_82
ID000083,81,2026-03-28,bureau_83,payment_history_pct_83,credit_utilization_pct_83,credit_age_months_83,num_accounts_83,num_inquiries_83,derogatory_marks_83
ID000084,88,2026-03-01,bureau_84,payment_history_pct_84,credit_utilization_pct_84,credit_age_months_84,num_accounts_84,num_inquiries_84,derogatory_marks_84
ID000085,95,2026-03-02,bureau_85,payment_history_pct_85,credit_utilization_pct_85,credit_age_months_85,num_accounts_85,num_inquiries_85,derogatory_marks_85
ID000086,2,2026-03-03,bureau_86,payment_history_pct_86,credit_utilization_pct_86,credit_age_months_86,num_accounts_86,num_inquiries_86,derogatory_marks_86
ID000087,9,2026-03-04,bureau_87,payment_history_pct_87,credit_utilization_pct_87,credit_age_months_87,num_accounts_87,num_inquiries_87,derogatory_marks_87
ID000088,16,2026-03-05,bureau_88,payment_history_pct_88,credit_utilization_pct_88,credit_age_months_88,num_accounts_88,num_inquiries_88,derogatory_marks_88
ID000089,23,2026-03-06,bureau_89,payment_history_pct_89,credit_utilization_pct_89,credit_age_months_89,num_accounts_89,num_inquiries_89,derogatory_marks_89
ID000090,30,2026-03-07,bureau_90,payment_history_pct_90,credit_utilization_pct_90,credit_age_months_90,num_accounts_90,num_inquiries_90,derogatory_marks_90
ID000091,37,2026-03-08,bureau_91,payment_history_pct_91,credit_utilization_pct_91,credit_age_months_91,num_accounts_91,num_inquiries_91,derogatory_marks_91
ID000092,44,2026-03-09,bureau_92,payment_history_pct_92,credit_utilization_pct_92,credit_age_months_92,num_accounts_92,num_inquiries_92,derogatory_marks_92
ID000093,51,2026-03-10,bureau_93,payment_history_pct_93,credit_utilization_pct_93,credit_age_months_93,num_accounts_93,num_inquiries_93,derogatory_marks_93
ID000094,58,2026-03-11,bureau_94,payment_history_pct_94,credit_utilization_pct_94,credit_age_months_94,num_accounts_94,num_inquiries_94,derogatory_marks_94
ID000095,65,2026-03-12,bureau_95,payment_history_pct_95,credit_utilization_pct_95,credit_age_months_95,num_accounts_95,num_inquiries_95,derogatory_marks_95
ID000096,72,2026-03-13,bureau_96,payment_history_pct_96,credit_utilization_pct_96,credit_age_months_96,num_accounts_96,num_inquiries_96,derogatory_marks_96
ID000097,79,2026-03-14,bureau_97,payment_history_pct_97,credit_utilization_pct_97,credit_age_months_97,num_accounts_97,num_inquiries_97,derogatory_marks_97
ID000098,86,2026-03-15,bureau_98,payment_history_pct_98,credit_utilization_pct_98,credit_age_months_98,num_accounts_98,num_inquiries_98,derogatory_marks_98
ID000099,93,2026-03-16,bureau_99,payment_history_pct_99,credit_utilization_pct_99,credit_age_months_99,num_accounts_99,num_inquiries_99,derogatory_marks_99
ID000100,0,2026-03-17,bureau_100,payment_history_pct_100,credit_utilization_pct_100,credit_age_months_100,num_accounts_100,num_inquiries_100,derogatory_marks_100
