forex_id,currency_pair,amount_from,amount_to,exchange_rate,timestamp,customer_id,fee_pct
ID000036,USD,543.2,543.2,52,2026-03-09,ID000036,fee_pct_36
ID000037,EUR,556.9,556.9,59,2026-03-10,ID000037,fee_pct_37
ID000038,USD,570.6,570.6,66,2026-03-11,ID000038,fee_pct_38
ID000039,EUR,584.3,584.3,73,2026-03-12,ID000039,fee_pct_39
ID000040,EUR,598.0,598.0,80,2026-03-13,ID000040,fee_pct_40
ID000041,GBP,611.7,611.7,87,2026-03-14,ID000041,fee_pct_41
ID000042,GBP,625.4,625.4,94,2026-03-15,ID000042,fee_pct_42
ID000043,GBP,639.1,639.1,1,2026-03-16,ID000043,fee_pct_43
ID000044,GBP,652.8,652.8,8,2026-03-17,ID000044,fee_pct_44
ID000045,GBP,666.5,666.5,15,2026-03-18,ID000045,fee_pct_45
ID000046,GBP,680.2,680.2,22,2026-03-19,ID000046,fee_pct_46
ID000047,GBP,693.9,693.9,29,2026-03-20,ID000047,fee_pct_47
ID000048,USD,707.6,707.6,36,2026-03-21,ID000048,fee_pct_48
ID000049,EUR,721.3,721.3,43,2026-03-22,ID000049,fee_pct_49
ID000050,USD,735.0,735.0,50,2026-03-23,ID000050,fee_pct_50
ID000051,USD,748.7,748.7,57,2026-03-24,ID000051,fee_pct_51
ID000052,EUR,762.4,762.4,64,2026-03-25,ID000052,fee_pct_52
ID000053,GBP,776.1,776.1,71,2026-03-26,ID000053,fee_pct_53
ID000054,GBP,789.8,789.8,78,2026-03-27,ID000054,fee_pct_54
ID000055,EUR,803.5,803.5,85,2026-03-28,ID000055,fee_pct_55
ID000056,USD,817.2,817.2,92,2026-03-01,ID000056,fee_pct_56
ID000057,GBP,830.9,830.9,99,2026-03-02,ID000057,fee_pct_57
ID000058,USD,844.6,844.6,6,2026-03-03,ID000058,fee_pct_58
ID000059,USD,858.3,858.3,13,2026-03-04,ID000059,fee_pct_59
ID000060,GBP,872.0,872.0,20,2026-03-05,ID000060,fee_pct_60
ID000061,EUR,885.7,885.7,27,2026-03-06,ID000061,fee_pct_61
ID000062,USD,899.4,899.4,34,2026-03-07,ID000062,fee_pct_62
ID000063,USD,913.1,913.1,41,2026-03-08,ID000063,fee_pct_63
ID000064,EUR,926.8,926.8,48,2026-03-09,ID000064,fee_pct_64
ID000065,EUR,940.5,940.5,55,2026-03-10,ID000065,fee_pct_65
ID000066,EUR,954.2,954.2,62,2026-03-11,ID000066,fee_pct_66
ID000067,EUR,967.9,967.9,69,2026-03-12,ID000067,fee_pct_67
ID000068,GBP,981.6,981.6,76,2026-03-13,ID000068,fee_pct_68
ID000069,EUR,995.3,995.3,83,2026-03-14,ID000069,fee_pct_69
ID000070,USD,1009.0,1009.0,90,2026-03-15,ID000070,fee_pct_70
ID000071,USD,1022.7,1022.7,97,2026-03-16,ID000071,fee_pct_71
ID000072,GBP,1036.4,1036.4,4,2026-03-17,ID000072,fee_pct_72
ID000073,GBP,1050.1,1050.1,11,2026-03-18,ID000073,fee_pct_73
ID000074,EUR,1063.8,1063.8,18,2026-03-19,ID000074,fee_pct_74
ID000075,EUR,1077.5,1077.5,25,2026-03-20,ID000075,fee_pct_75
ID000076,GBP,1091.2,1091.2,32,2026-03-21,ID000076,fee_pct_76
ID000077,USD,1104.9,1104.9,39,2026-03-22,ID000077,fee_pct_77
ID000078,EUR,1118.6,1118.6,46,2026-03-23,ID000078,fee_pct_78
ID000079,EUR,1132.3,1132.3,53,2026-03-24,ID000079,fee_pct_79
ID000080,EUR,1146.0,1146.0,60,2026-03-25,ID000080,fee_pct_80
ID000081,USD,1159.7,1159.7,67,2026-03-26,ID000081,fee_pct_81
ID000082,GBP,1173.4,1173.4,74,2026-03-27,ID000082,fee_pct_82
ID000083,USD,1187.1,1187.1,81,2026-03-28,ID000083,fee_pct_83
ID000084,USD,1200.8,1200.8,88,2026-03-01,ID000084,fee_pct_84
ID000085,EUR,1214.5,1214.5,95,2026-03-02,ID000085,fee_pct_85
ID000086,EUR,1228.2,1228.2,2,2026-03-03,ID000086,fee_pct_86
ID000087,GBP,1241.9,1241.9,9,2026-03-04,ID000087,fee_pct_87
ID000088,USD,1255.6,1255.6,16,2026-03-05,ID000088,fee_pct_88
ID000089,USD,1269.3,1269.3,23,2026-03-06,ID000089,fee_pct_89
ID000090,GBP,1283.0,1283.0,30,2026-03-07,ID000090,fee_pct_90
ID000091,USD,1296.7,1296.7,37,2026-03-08,ID000091,fee_pct_91
ID000092,USD,1310.4,1310.4,44,2026-03-09,ID000092,fee_pct_92
ID000093,USD,1324.1,1324.1,51,2026-03-10,ID000093,fee_pct_93
ID000094,USD,1337.8,1337.8,58,2026-03-11,ID000094,fee_pct_94
ID000095,EUR,1351.5,1351.5,65,2026-03-12,ID000095,fee_pct_95
ID000096,GBP,1365.2,1365.2,72,2026-03-13,ID000096,fee_pct_96
ID000097,GBP,1378.9,1378.9,79,2026-03-14,ID000097,fee_pct_97
ID000098,USD,1392.6,1392.6,86,2026-03-15,ID000098,fee_pct_98
ID000099,GBP,1406.3,1406.3,93,2026-03-16,ID000099,fee_pct_99
ID000100,USD,1420.0,1420.0,0,2026-03-17,ID000100,fee_pct_100
