payment_id,account_id,payee,category,amount,payment_date,due_date,status,is_recurring
ID000036,ID000036,payee_36,customer,543.2,2026-03-09,2026-03-09,approved,False
ID000037,ID000037,payee_37,credit,556.9,2026-03-10,2026-03-10,approved,False
ID000038,ID000038,payee_38,retail,570.6,2026-03-11,2026-03-11,rejected,False
ID000039,ID000039,payee_39,operations,584.3,2026-03-12,2026-03-12,rejected,False
ID000040,ID000040,payee_40,retail,598.0,2026-03-13,2026-03-13,completed,False
ID000041,ID000041,payee_41,risk,611.7,2026-03-14,2026-03-14,completed,False
ID000042,ID000042,payee_42,customer,625.4,2026-03-15,2026-03-15,rejected,True
ID000043,ID000043,payee_43,credit,639.1,2026-03-16,2026-03-16,rejected,False
ID000044,ID000044,payee_44,operations,652.8,2026-03-17,2026-03-17,rejected,False
ID000045,ID000045,payee_45,risk,666.5,2026-03-18,2026-03-18,pending,False
ID000046,ID000046,payee_46,credit,680.2,2026-03-19,2026-03-19,approved,False
ID000047,ID000047,payee_47,risk,693.9,2026-03-20,2026-03-20,completed,False
ID000048,ID000048,payee_48,retail,707.6,2026-03-21,2026-03-21,completed,False
ID000049,ID000049,payee_49,risk,721.3,2026-03-22,2026-03-22,approved,True
ID000050,ID000050,payee_50,retail,735.0,2026-03-23,2026-03-23,approved,False
ID000051,ID000051,payee_51,customer,748.7,2026-03-24,2026-03-24,completed,False
ID000052,ID000052,payee_52,operations,762.4,2026-03-25,2026-03-25,approved,False
ID000053,ID000053,payee_53,operations,776.1,2026-03-26,2026-03-26,rejected,False
ID000054,ID000054,payee_54,operations,789.8,2026-03-27,2026-03-27,rejected,False
ID000055,ID000055,payee_55,operations,803.5,2026-03-28,2026-03-28,rejected,False
ID000056,ID000056,payee_56,customer,817.2,2026-03-01,2026-03-01,completed,True
ID000057,ID000057,payee_57,retail,830.9,2026-03-02,2026-03-02,rejected,False
ID000058,ID000058,payee_58,customer,844.6,2026-03-03,2026-03-03,approved,False
ID000059,ID000059,payee_59,customer,858.3,2026-03-04,2026-03-04,approved,False
ID000060,ID000060,payee_60,operations,872.0,2026-03-05,2026-03-05,completed,False
ID000061,ID000061,payee_61,retail,885.7,2026-03-06,2026-03-06,completed,False
ID000062,ID000062,payee_62,retail,899.4,2026-03-07,2026-03-07,rejected,False
ID000063,ID000063,payee_63,risk,913.1,2026-03-08,2026-03-08,completed,True
ID000064,ID000064,payee_64,retail,926.8,2026-03-09,2026-03-09,pending,False
ID000065,ID000065,payee_65,risk,940.5,2026-03-10,2026-03-10,approved,False
ID000066,ID000066,payee_66,customer,954.2,2026-03-11,2026-03-11,approved,False
ID000067,ID000067,payee_67,risk,967.9,2026-03-12,2026-03-12,rejected,False
ID000068,ID000068,payee_68,operations,981.6,2026-03-13,2026-03-13,rejected,False
ID000069,ID000069,payee_69,retail,995.3,2026-03-14,2026-03-14,approved,False
ID000070,ID000070,payee_70,customer,1009.0,2026-03-15,2026-03-15,approved,True
ID000071,ID000071,payee_71,retail,1022.7,2026-03-16,2026-03-16,pending,False
ID000072,ID000072,payee_72,customer,1036.4,2026-03-17,2026-03-17,approved,False
ID000073,ID000073,payee_73,risk,1050.1,2026-03-18,2026-03-18,rejected,False
ID000074,ID000074,payee_74,credit,1063.8,2026-03-19,2026-03-19,completed,False
ID000075,ID000075,payee_75,customer,1077.5,2026-03-20,2026-03-20,approved,False
ID000076,ID000076,payee_76,risk,1091.2,2026-03-21,2026-03-21,rejected,False
ID000077,ID000077,payee_77,credit,1104.9,2026-03-22,2026-03-22,approved,True
ID000078,ID000078,payee_78,credit,1118.6,2026-03-23,2026-03-23,approved,False
ID000079,ID000079,payee_79,retail,1132.3,2026-03-24,2026-03-24,pending,False
ID000080,ID000080,payee_80,customer,1146.0,2026-03-25,2026-03-25,approved,False
ID000081,ID000081,payee_81,credit,1159.7,2026-03-26,2026-03-26,completed,False
ID000082,ID000082,payee_82,credit,1173.4,2026-03-27,2026-03-27,completed,False
ID000083,ID000083,payee_83,operations,1187.1,2026-03-28,2026-03-28,approved,False
ID000084,ID000084,payee_84,risk,1200.8,2026-03-01,2026-03-01,completed,True
ID000085,ID000085,payee_85,risk,1214.5,2026-03-02,2026-03-02,rejected,False
ID000086,ID000086,payee_86,customer,1228.2,2026-03-03,2026-03-03,completed,False
ID000087,ID000087,payee_87,retail,1241.9,2026-03-04,2026-03-04,completed,False
ID000088,ID000088,payee_88,credit,1255.6,2026-03-05,2026-03-05,rejected,False
ID000089,ID000089,payee_89,retail,1269.3,2026-03-06,2026-03-06,completed,False
ID000090,ID000090,payee_90,retail,1283.0,2026-03-07,2026-03-07,completed,False
ID000091,ID000091,payee_91,credit,1296.7,2026-03-08,2026-03-08,rejected,True
ID000092,ID000092,payee_92,retail,1310.4,2026-03-09,2026-03-09,rejected,False
ID000093,ID000093,payee_93,customer,1324.1,2026-03-10,2026-03-10,approved,False
ID000094,ID000094,payee_94,operations,1337.8,2026-03-11,2026-03-11,rejected,False
ID000095,ID000095,payee_95,customer,1351.5,2026-03-12,2026-03-12,pending,False
ID000096,ID000096,payee_96,risk,1365.2,2026-03-13,2026-03-13,rejected,False
ID000097,ID000097,payee_97,risk,1378.9,2026-03-14,2026-03-14,rejected,False
ID000098,ID000098,payee_98,customer,1392.6,2026-03-15,2026-03-15,rejected,True
ID000099,ID000099,payee_99,retail,1406.3,2026-03-16,2026-03-16,approved,False
ID000100,ID000100,payee_100,operations,1420.0,2026-03-17,2026-03-17,completed,False
