customer_id,segment,lifetime_value,tenure_months,num_products,engagement_score,churn_probability,last_contact,preferred_channel,segmented_date
ID000033,operations,2026-03-06,tenure_months_33,num_products_33,31,31,last_contact_33,preferred_channel_33,2026-03-06
ID000034,risk,2026-03-07,tenure_months_34,num_products_34,38,38,last_contact_34,preferred_channel_34,2026-03-07
ID000035,retail,2026-03-08,tenure_months_35,num_products_35,45,45,last_contact_35,preferred_channel_35,2026-03-08
ID000036,operations,2026-03-09,tenure_months_36,num_products_36,52,52,last_contact_36,preferred_channel_36,2026-03-09
ID000037,customer,2026-03-10,tenure_months_37,num_products_37,59,59,last_contact_37,preferred_channel_37,2026-03-10
ID000038,customer,2026-03-11,tenure_months_38,num_products_38,66,66,last_contact_38,preferred_channel_38,2026-03-11
ID000039,operations,2026-03-12,tenure_months_39,num_products_39,73,73,last_contact_39,preferred_channel_39,2026-03-12
ID000040,operations,2026-03-13,tenure_months_40,num_products_40,80,80,last_contact_40,preferred_channel_40,2026-03-13
ID000041,customer,2026-03-14,tenure_months_41,num_products_41,87,87,last_contact_41,preferred_channel_41,2026-03-14
ID000042,risk,2026-03-15,tenure_months_42,num_products_42,94,94,last_contact_42,preferred_channel_42,2026-03-15
ID000043,credit,2026-03-16,tenure_months_43,num_products_43,1,1,last_contact_43,preferred_channel_43,2026-03-16
ID000044,credit,2026-03-17,tenure_months_44,num_products_44,8,8,last_contact_44,preferred_channel_44,2026-03-17
ID000045,customer,2026-03-18,tenure_months_45,num_products_45,15,15,last_contact_45,preferred_channel_45,2026-03-18
ID000046,customer,2026-03-19,tenure_months_46,num_products_46,22,22,last_contact_46,preferred_channel_46,2026-03-19
ID000047,credit,2026-03-20,tenure_months_47,num_products_47,29,29,last_contact_47,preferred_channel_47,2026-03-20
ID000048,retail,2026-03-21,tenure_months_48,num_products_48,36,36,last_contact_48,preferred_channel_48,2026-03-21
ID000049,risk,2026-03-22,tenure_months_49,num_products_49,43,43,last_contact_49,preferred_channel_49,2026-03-22
ID000050,risk,2026-03-23,tenure_months_50,num_products_50,50,50,last_contact_50,preferred_channel_50,2026-03-23
ID000051,retail,2026-03-24,tenure_months_51,num_products_51,57,57,last_contact_51,preferred_channel_51,2026-03-24
ID000052,retail,2026-03-25,tenure_months_52,num_products_52,64,64,last_contact_52,preferred_channel_52,2026-03-25
ID000053,customer,2026-03-26,tenure_months_53,num_products_53,71,71,last_contact_53,preferred_channel_53,2026-03-26
ID000054,customer,2026-03-27,tenure_months_54,num_products_54,78,78,last_contact_54,preferred_channel_54,2026-03-27
ID000055,credit,2026-03-28,tenure_months_55,num_products_55,85,85,last_contact_55,preferred_channel_55,2026-03-28
ID000056,credit,2026-03-01,tenure_months_56,num_products_56,92,92,last_contact_56,preferred_channel_56,2026-03-01
ID000057,operations,2026-03-02,tenure_months_57,num_products_57,99,99,last_contact_57,preferred_channel_57,2026-03-02
ID000058,credit,2026-03-03,tenure_months_58,num_products_58,6,6,last_contact_58,preferred_channel_58,2026-03-03
ID000059,customer,2026-03-04,tenure_months_59,num_products_59,13,13,last_contact_59,preferred_channel_59,2026-03-04
ID000060,operations,2026-03-05,tenure_months_60,num_products_60,20,20,last_contact_60,preferred_channel_60,2026-03-05
ID000061,operations,2026-03-06,tenure_months_61,num_products_61,27,27,last_contact_61,preferred_channel_61,2026-03-06
ID000062,risk,2026-03-07,tenure_months_62,num_products_62,34,34,last_contact_62,preferred_channel_62,2026-03-07
ID000063,operations,2026-03-08,tenure_months_63,num_products_63,41,41,last_contact_63,preferred_channel_63,2026-03-08
ID000064,risk,2026-03-09,tenure_months_64,num_products_64,48,48,last_contact_64,preferred_channel_64,2026-03-09
ID000065,customer,2026-03-10,tenure_months_65,num_products_65,55,55,last_contact_65,preferred_channel_65,2026-03-10
ID000066,retail,2026-03-11,tenure_months_66,num_products_66,62,62,last_contact_66,preferred_channel_66,2026-03-11
ID000067,customer,2026-03-12,tenure_months_67,num_products_67,69,69,last_contact_67,preferred_channel_67,2026-03-12
ID000068,credit,2026-03-13,tenure_months_68,num_products_68,76,76,last_contact_68,preferred_channel_68,2026-03-13
ID000069,customer,2026-03-14,tenure_months_69,num_products_69,83,83,last_contact_69,preferred_channel_69,2026-03-14
ID000070,risk,2026-03-15,tenure_months_70,num_products_70,90,90,last_contact_70,preferred_channel_70,2026-03-15
ID000071,customer,2026-03-16,tenure_months_71,num_products_71,97,97,last_contact_71,preferred_channel_71,2026-03-16
ID000072,retail,2026-03-17,tenure_months_72,num_products_72,4,4,last_contact_72,preferred_channel_72,2026-03-17
ID000073,retail,2026-03-18,tenure_months_73,num_products_73,11,11,last_contact_73,preferred_channel_73,2026-03-18
ID000074,customer,2026-03-19,tenure_months_74,num_products_74,18,18,last_contact_74,preferred_channel_74,2026-03-19
ID000075,risk,2026-03-20,tenure_months_75,num_products_75,25,25,last_contact_75,preferred_channel_75,2026-03-20
ID000076,retail,2026-03-21,tenure_months_76,num_products_76,32,32,last_contact_76,preferred_channel_76,2026-03-21
ID000077,credit,2026-03-22,tenure_months_77,num_products_77,39,39,last_contact_77,preferred_channel_77,2026-03-22
ID000078,credit,2026-03-23,tenure_months_78,num_products_78,46,46,last_contact_78,preferred_channel_78,2026-03-23
ID000079,customer,2026-03-24,tenure_months_79,num_products_79,53,53,last_contact_79,preferred_channel_79,2026-03-24
ID000080,risk,2026-03-25,tenure_months_80,num_products_80,60,60,last_contact_80,preferred_channel_80,2026-03-25
ID000081,credit,2026-03-26,tenure_months_81,num_products_81,67,67,last_contact_81,preferred_channel_81,2026-03-26
ID000082,customer,2026-03-27,tenure_months_82,num_products_82,74,74,last_contact_82,preferred_channel_82,2026-03-27
ID000083,risk,2026-03-28,tenure_months_83,num_products_83,81,81,last_contact_83,preferred_channel_83,2026-03-28
ID000084,customer,2026-03-01,tenure_months_84,num_products_84,88,88,last_contact_84,preferred_channel_84,2026-03-01
ID000085,credit,2026-03-02,tenure_months_85,num_products_85,95,95,last_contact_85,preferred_channel_85,2026-03-02
ID000086,retail,2026-03-03,tenure_months_86,num_products_86,2,2,last_contact_86,preferred_channel_86,2026-03-03
ID000087,operations,2026-03-04,tenure_months_87,num_products_87,9,9,last_contact_87,preferred_channel_87,2026-03-04
ID000088,risk,2026-03-05,tenure_months_88,num_products_88,16,16,last_contact_88,preferred_channel_88,2026-03-05
ID000089,risk,2026-03-06,tenure_months_89,num_products_89,23,23,last_contact_89,preferred_channel_89,2026-03-06
ID000090,risk,2026-03-07,tenure_months_90,num_products_90,30,30,last_contact_90,preferred_channel_90,2026-03-07
ID000091,operations,2026-03-08,tenure_months_91,num_products_91,37,37,last_contact_91,preferred_channel_91,2026-03-08
ID000092,retail,2026-03-09,tenure_months_92,num_products_92,44,44,last_contact_92,preferred_channel_92,2026-03-09
ID000093,customer,2026-03-10,tenure_months_93,num_products_93,51,51,last_contact_93,preferred_channel_93,2026-03-10
ID000094,customer,2026-03-11,tenure_months_94,num_products_94,58,58,last_contact_94,preferred_channel_94,2026-03-11
ID000095,credit,2026-03-12,tenure_months_95,num_products_95,65,65,last_contact_95,preferred_channel_95,2026-03-12
ID000096,risk,2026-03-13,tenure_months_96,num_products_96,72,72,last_contact_96,preferred_channel_96,2026-03-13
ID000097,operations,2026-03-14,tenure_months_97,num_products_97,79,79,last_contact_97,preferred_channel_97,2026-03-14
ID000098,credit,2026-03-15,tenure_months_98,num_products_98,86,86,last_contact_98,preferred_channel_98,2026-03-15
ID000099,customer,2026-03-16,tenure_months_99,num_products_99,93,93,last_contact_99,preferred_channel_99,2026-03-16
ID000100,operations,2026-03-17,tenure_months_100,num_products_100,0,0,last_contact_100,preferred_channel_100,2026-03-17
