account_id,customer_id,account_type,balance,currency,interest_rate,opened_date,status,overdraft_protection,last_activity
ID000025,ID000025,customer,392.5,USD,75,2026-03-26,pending,overdraft_protection_25,last_activity_25
ID000026,ID000026,operations,406.2,GBP,82,2026-03-27,rejected,overdraft_protection_26,last_activity_26
ID000027,ID000027,risk,419.9,EUR,89,2026-03-28,approved,overdraft_protection_27,last_activity_27
ID000028,ID000028,operations,433.6,EUR,96,2026-03-01,completed,overdraft_protection_28,last_activity_28
ID000029,ID000029,risk,447.3,USD,3,2026-03-02,pending,overdraft_protection_29,last_activity_29
ID000030,ID000030,credit,461.0,USD,10,2026-03-03,pending,overdraft_protection_30,last_activity_30
ID000031,ID000031,retail,474.7,USD,17,2026-03-04,pending,overdraft_protection_31,last_activity_31
ID000032,ID000032,credit,488.4,USD,24,2026-03-05,approved,overdraft_protection_32,last_activity_32
ID000033,ID000033,operations,502.1,EUR,31,2026-03-06,rejected,overdraft_protection_33,last_activity_33
ID000034,ID000034,credit,515.8,EUR,38,2026-03-07,completed,overdraft_protection_34,last_activity_34
ID000035,ID000035,customer,529.5,GBP,45,2026-03-08,rejected,overdraft_protection_35,last_activity_35
ID000036,ID000036,risk,543.2,GBP,52,2026-03-09,completed,overdraft_protection_36,last_activity_36
ID000037,ID000037,credit,556.9,GBP,59,2026-03-10,approved,overdraft_protection_37,last_activity_37
ID000038,ID000038,operations,570.6,GBP,66,2026-03-11,pending,overdraft_protection_38,last_activity_38
ID000039,ID000039,credit,584.3,EUR,73,2026-03-12,approved,overdraft_protection_39,last_activity_39
ID000040,ID000040,retail,598.0,GBP,80,2026-03-13,completed,overdraft_protection_40,last_activity_40
ID000041,ID000041,retail,611.7,GBP,87,2026-03-14,completed,overdraft_protection_41,last_activity_41
ID000042,ID000042,customer,625.4,USD,94,2026-03-15,approved,overdraft_protection_42,last_activity_42
ID000043,ID000043,customer,639.1,GBP,1,2026-03-16,pending,overdraft_protection_43,last_activity_43
ID000044,ID000044,credit,652.8,USD,8,2026-03-17,pending,overdraft_protection_44,last_activity_44
ID000045,ID000045,retail,666.5,EUR,15,2026-03-18,pending,overdraft_protection_45,last_activity_45
ID000046,ID000046,credit,680.2,GBP,22,2026-03-19,rejected,overdraft_protection_46,last_activity_46
ID000047,ID000047,retail,693.9,USD,29,2026-03-20,rejected,overdraft_protection_47,last_activity_47
ID000048,ID000048,retail,707.6,GBP,36,2026-03-21,approved,overdraft_protection_48,last_activity_48
ID000049,ID000049,risk,721.3,USD,43,2026-03-22,completed,overdraft_protection_49,last_activity_49
ID000050,ID000050,retail,735.0,USD,50,2026-03-23,rejected,overdraft_protection_50,last_activity_50
ID000051,ID000051,operations,748.7,EUR,57,2026-03-24,completed,overdraft_protection_51,last_activity_51
ID000052,ID000052,operations,762.4,EUR,64,2026-03-25,rejected,overdraft_protection_52,last_activity_52
ID000053,ID000053,credit,776.1,USD,71,2026-03-26,completed,overdraft_protection_53,last_activity_53
ID000054,ID000054,operations,789.8,GBP,78,2026-03-27,rejected,overdraft_protection_54,last_activity_54
ID000055,ID000055,retail,803.5,GBP,85,2026-03-28,completed,overdraft_protection_55,last_activity_55
ID000056,ID000056,retail,817.2,USD,92,2026-03-01,completed,overdraft_protection_56,last_activity_56
ID000057,ID000057,operations,830.9,USD,99,2026-03-02,approved,overdraft_protection_57,last_activity_57
ID000058,ID000058,customer,844.6,GBP,6,2026-03-03,pending,overdraft_protection_58,last_activity_58
ID000059,ID000059,credit,858.3,USD,13,2026-03-04,completed,overdraft_protection_59,last_activity_59
ID000060,ID000060,risk,872.0,EUR,20,2026-03-05,completed,overdraft_protection_60,last_activity_60
ID000061,ID000061,credit,885.7,USD,27,2026-03-06,completed,overdraft_protection_61,last_activity_61
ID000062,ID000062,credit,899.4,GBP,34,2026-03-07,pending,overdraft_protection_62,last_activity_62
ID000063,ID000063,risk,913.1,GBP,41,2026-03-08,completed,overdraft_protection_63,last_activity_63
ID000064,ID000064,retail,926.8,GBP,48,2026-03-09,pending,overdraft_protection_64,last_activity_64
ID000065,ID000065,operations,940.5,EUR,55,2026-03-10,pending,overdraft_protection_65,last_activity_65
ID000066,ID000066,credit,954.2,USD,62,2026-03-11,completed,overdraft_protection_66,last_activity_66
ID000067,ID000067,operations,967.9,EUR,69,2026-03-12,pending,overdraft_protection_67,last_activity_67
ID000068,ID000068,retail,981.6,GBP,76,2026-03-13,pending,overdraft_protection_68,last_activity_68
ID000069,ID000069,risk,995.3,GBP,83,2026-03-14,completed,overdraft_protection_69,last_activity_69
ID000070,ID000070,customer,1009.0,USD,90,2026-03-15,rejected,overdraft_protection_70,last_activity_70
ID000071,ID000071,operations,1022.7,USD,97,2026-03-16,rejected,overdraft_protection_71,last_activity_71
ID000072,ID000072,customer,1036.4,EUR,4,2026-03-17,pending,overdraft_protection_72,last_activity_72
ID000073,ID000073,customer,1050.1,EUR,11,2026-03-18,pending,overdraft_protection_73,last_activity_73
ID000074,ID000074,operations,1063.8,USD,18,2026-03-19,rejected,overdraft_protection_74,last_activity_74
ID000075,ID000075,customer,1077.5,GBP,25,2026-03-20,pending,overdraft_protection_75,last_activity_75
ID000076,ID000076,operations,1091.2,GBP,32,2026-03-21,completed,overdraft_protection_76,last_activity_76
ID000077,ID000077,credit,1104.9,GBP,39,2026-03-22,pending,overdraft_protection_77,last_activity_77
ID000078,ID000078,operations,1118.6,USD,46,2026-03-23,pending,overdraft_protection_78,last_activity_78
ID000079,ID000079,operations,1132.3,EUR,53,2026-03-24,pending,overdraft_protection_79,last_activity_79
ID000080,ID000080,retail,1146.0,EUR,60,2026-03-25,completed,overdraft_protection_80,last_activity_80
ID000081,ID000081,customer,1159.7,EUR,67,2026-03-26,approved,overdraft_protection_81,last_activity_81
ID000082,ID000082,operations,1173.4,EUR,74,2026-03-27,approved,overdraft_protection_82,last_activity_82
ID000083,ID000083,risk,1187.1,EUR,81,2026-03-28,completed,overdraft_protection_83,last_activity_83
ID000084,ID000084,retail,1200.8,EUR,88,2026-03-01,rejected,overdraft_protection_84,last_activity_84
ID000085,ID000085,risk,1214.5,GBP,95,2026-03-02,rejected,overdraft_protection_85,last_activity_85
ID000086,ID000086,customer,1228.2,EUR,2,2026-03-03,approved,overdraft_protection_86,last_activity_86
ID000087,ID000087,operations,1241.9,USD,9,2026-03-04,rejected,overdraft_protection_87,last_activity_87
ID000088,ID000088,customer,1255.6,USD,16,2026-03-05,completed,overdraft_protection_88,last_activity_88
ID000089,ID000089,operations,1269.3,USD,23,2026-03-06,rejected,overdraft_protection_89,last_activity_89
ID000090,ID000090,retail,1283.0,EUR,30,2026-03-07,approved,overdraft_protection_90,last_activity_90
ID000091,ID000091,operations,1296.7,GBP,37,2026-03-08,approved,overdraft_protection_91,last_activity_91
ID000092,ID000092,operations,1310.4,USD,44,2026-03-09,completed,overdraft_protection_92,last_activity_92
ID000093,ID000093,customer,1324.1,EUR,51,2026-03-10,completed,overdraft_protection_93,last_activity_93
ID000094,ID000094,credit,1337.8,EUR,58,2026-03-11,completed,overdraft_protection_94,last_activity_94
ID000095,ID000095,retail,1351.5,GBP,65,2026-03-12,approved,overdraft_protection_95,last_activity_95
ID000096,ID000096,operations,1365.2,GBP,72,2026-03-13,completed,overdraft_protection_96,last_activity_96
ID000097,ID000097,retail,1378.9,EUR,79,2026-03-14,pending,overdraft_protection_97,last_activity_97
ID000098,ID000098,operations,1392.6,EUR,86,2026-03-15,approved,overdraft_protection_98,last_activity_98
ID000099,ID000099,credit,1406.3,GBP,93,2026-03-16,completed,overdraft_protection_99,last_activity_99
ID000100,ID000100,operations,1420.0,GBP,0,2026-03-17,rejected,overdraft_protection_100,last_activity_100
