transfer_id,from_account,to_account,amount,currency,transfer_type,status,initiated_at,completed_at,fee
ID000065,from_account_65,to_account_65,940.5,USD,customer,approved,2026-03-10,2026-03-10,fee_65
ID000066,from_account_66,to_account_66,954.2,USD,operations,rejected,2026-03-11,2026-03-11,fee_66
ID000067,from_account_67,to_account_67,967.9,EUR,retail,approved,2026-03-12,2026-03-12,fee_67
ID000068,from_account_68,to_account_68,981.6,USD,credit,rejected,2026-03-13,2026-03-13,fee_68
ID000069,from_account_69,to_account_69,995.3,GBP,retail,completed,2026-03-14,2026-03-14,fee_69
ID000070,from_account_70,to_account_70,1009.0,GBP,customer,rejected,2026-03-15,2026-03-15,fee_70
ID000071,from_account_71,to_account_71,1022.7,EUR,credit,rejected,2026-03-16,2026-03-16,fee_71
ID000072,from_account_72,to_account_72,1036.4,USD,risk,approved,2026-03-17,2026-03-17,fee_72
ID000073,from_account_73,to_account_73,1050.1,USD,credit,rejected,2026-03-18,2026-03-18,fee_73
ID000074,from_account_74,to_account_74,1063.8,EUR,operations,rejected,2026-03-19,2026-03-19,fee_74
ID000075,from_account_75,to_account_75,1077.5,EUR,retail,approved,2026-03-20,2026-03-20,fee_75
ID000076,from_account_76,to_account_76,1091.2,USD,credit,pending,2026-03-21,2026-03-21,fee_76
ID000077,from_account_77,to_account_77,1104.9,EUR,operations,pending,2026-03-22,2026-03-22,fee_77
ID000078,from_account_78,to_account_78,1118.6,EUR,operations,approved,2026-03-23,2026-03-23,fee_78
ID000079,from_account_79,to_account_79,1132.3,GBP,risk,completed,2026-03-24,2026-03-24,fee_79
ID000080,from_account_80,to_account_80,1146.0,GBP,operations,rejected,2026-03-25,2026-03-25,fee_80
ID000081,from_account_81,to_account_81,1159.7,USD,retail,pending,2026-03-26,2026-03-26,fee_81
ID000082,from_account_82,to_account_82,1173.4,GBP,credit,approved,2026-03-27,2026-03-27,fee_82
ID000083,from_account_83,to_account_83,1187.1,GBP,customer,pending,2026-03-28,2026-03-28,fee_83
ID000084,from_account_84,to_account_84,1200.8,GBP,retail,pending,2026-03-01,2026-03-01,fee_84
ID000085,from_account_85,to_account_85,1214.5,GBP,retail,completed,2026-03-02,2026-03-02,fee_85
ID000086,from_account_86,to_account_86,1228.2,GBP,credit,completed,2026-03-03,2026-03-03,fee_86
ID000087,from_account_87,to_account_87,1241.9,GBP,operations,completed,2026-03-04,2026-03-04,fee_87
ID000088,from_account_88,to_account_88,1255.6,GBP,operations,pending,2026-03-05,2026-03-05,fee_88
ID000089,from_account_89,to_account_89,1269.3,EUR,customer,pending,2026-03-06,2026-03-06,fee_89
ID000090,from_account_90,to_account_90,1283.0,EUR,risk,completed,2026-03-07,2026-03-07,fee_90
ID000091,from_account_91,to_account_91,1296.7,GBP,credit,approved,2026-03-08,2026-03-08,fee_91
ID000092,from_account_92,to_account_92,1310.4,USD,operations,approved,2026-03-09,2026-03-09,fee_92
ID000093,from_account_93,to_account_93,1324.1,EUR,risk,pending,2026-03-10,2026-03-10,fee_93
ID000094,from_account_94,to_account_94,1337.8,EUR,risk,pending,2026-03-11,2026-03-11,fee_94
ID000095,from_account_95,to_account_95,1351.5,GBP,customer,rejected,2026-03-12,2026-03-12,fee_95
ID000096,from_account_96,to_account_96,1365.2,USD,risk,pending,2026-03-13,2026-03-13,fee_96
ID000097,from_account_97,to_account_97,1378.9,EUR,credit,approved,2026-03-14,2026-03-14,fee_97
ID000098,from_account_98,to_account_98,1392.6,EUR,retail,rejected,2026-03-15,2026-03-15,fee_98
ID000099,from_account_99,to_account_99,1406.3,EUR,credit,completed,2026-03-16,2026-03-16,fee_99
ID000100,from_account_100,to_account_100,1420.0,EUR,customer,pending,2026-03-17,2026-03-17,fee_100
